Partner,Dependents,tenure,PhoneService,InternetService,Contract,PaperlessBilling,MonthlyCharges,TotalCharges,SeniorCitizenLabel,ServiceCount,AvgMonthlySpend,ChargeToTenureRatio,CLV,TenureGroup_num,ChargesBand_num,ContractRisk,IsNewCustomer,IsLongTermCustomer,HasNoAddOns,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,MultipleLines_Yes,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_Yes
0,0,0.1023712383613841,0,1,0,0,-0.5219756496159262,-0.26225719995201097,0,3,-0.539937190122268,0.19394215775932394,-0.26225719995201097,2,1,2,0,0,0,0,1,0,0,0,0,1,0,1,1
1,1,-0.7117434584104956,1,2,0,0,0.3374778078243394,-0.5036347857749957,0,1,0.391497395651922,-0.4660388964167465,-0.5036347857749957,1,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0
1,1,-0.7931549280876836,0,1,2,0,-0.8090131942822701,-0.7498829245931361,0,3,-0.6461505123366605,-2.134596339022119,-0.7498829245931361,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0
1,0,-0.2639803751859618,1,1,2,1,0.2843841579438598,-0.17272239466719,0,4,0.2766811252207874,0.013769288370009382,-0.17272239466719,2,2,0,0,0,0,1,0,0,0,0,1,1,0,1,1
1,1,-1.2816237461508113,1,1,0,0,-0.6762790695810708,-0.9893737196161955,0,0,-0.6746064179766535,-0.039107531994243945,-0.9893737196161955,0,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0
0,1,1.3642490183577978,1,1,2,1,0.48348534499565887,1.2710674769778725,0,5,0.4563503899012087,0.15281574192045927,1.2710674769778725,3,2,0,0,1,0,1,0,0,0,0,1,1,1,1,1
0,0,-1.2816237461508113,1,0,0,0,-1.497571466169742,-1.0002337364297182,0,0,-1.493540911685755,-0.039107531994243945,-1.0002337364297182,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0
1,0,0.30589991255435406,1,1,0,0,-0.27641751891870747,0.03500010874782714,0,1,-0.18059866076142597,-0.986973497042367,0.03500010874782714,2,1,2,0,0,0,1,0,0,1,0,1,0,0,0,0
1,0,1.3235432835192036,1,1,2,1,-0.17023021915774814,0.6620728371601656,0,2,-0.21004721427258133,0.3662814241317084,0.6620728371601656,3,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0
0,0,1.1200146093262338,1,1,1,0,0.5183280527297236,1.1179083307653424,0,4,0.5241813277639826,-0.0939427531127309,1.1179083307653424,3,2,1,0,1,0,1,0,0,1,0,0,1,1,1,1
0,0,-1.1188008067964355,1,1,0,0,-0.1669118660402181,-0.8826164634250809,1,3,-0.24379724189210802,0.7540447734695778,-0.8826164634250809,0,1,2,1,0,0,1,0,0,0,1,1,0,1,0,0
1,1,-1.1188008067964355,1,1,0,1,-0.5153389433808665,-0.9068814706892347,0,1,-0.6097534237273672,1.1770593363836175,-0.9068814706892347,0,1,2,1,0,0,0,0,1,0,1,0,0,0,0,0
0,0,-1.2409180113122174,1,1,0,0,-0.46390447005915153,-0.9549288178036082,0,1,-0.11309860552237255,-3.403640027764234,-0.9549288178036082,0,1,2,1,0,0,0,0,1,0,1,0,0,0,0,0
1,1,-0.10115743583158582,1,1,0,0,0.08860132400959055,-0.13125687592464852,0,4,0.05730594569386466,0.23311017284395716,-0.13125687592464852,2,2,2,0,0,0,0,1,0,1,1,1,1,1,0,0
1,0,0.14307697319997809,1,2,0,1,1.0111034906829266,0.5155174587473736,0,2,1.0446596948768783,-0.2643236187308839,0.5155174587473736,2,3,2,0,0,0,0,1,0,1,0,0,0,0,1,1
1,1,0.9164859351332638,1,2,2,1,0.1367174442137754,0.677167163559567,0,0,0.16318838528453644,-0.26824042023934896,0.677167163559567,3,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0
0,0,-0.06045170099299184,1,2,0,1,0.6576988836659831,0.1378082679158427,0,2,0.6406520113137214,0.06468770798003562,0.1378082679158427,2,2,2,0,0,0,1,0,0,1,1,0,1,0,0,0
1,1,-0.1825689055087738,0,1,0,1,-0.9633166142474143,-0.5816952702649228,1,1,-0.9982096239756437,0.5973727131310448,-0.5816952702649228,2,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,-0.6710377235719016,1,0,2,0,-1.5257774676687466,-0.8655256490862239,0,0,-1.4730261890150622,-1.4491560750410377,-0.8655256490862239,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
0,0,-1.0780950719578415,1,0,0,0,-1.4859572302583868,-0.9516598430455984,0,0,-1.4290188000601893,-1.4804904871087452,-0.9516598430455984,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0
1,0,-0.22327464034736777,1,2,1,1,0.695859944517578,-0.034767271993591815,1,2,0.5721593082035058,0.8343392043930756,-0.034767271993591815,2,2,1,0,0,0,0,1,0,1,1,0,1,0,0,0
0,0,1.0386031396490458,1,0,2,1,-1.3150620447055927,-0.3619938392131716,0,0,-1.3075848771546377,-0.13115236744313266,-0.3619938392131716,3,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
1,1,1.6084834273893616,1,2,2,1,1.326347036848275,2.3840765940825652,0,5,1.4049908721088828,-0.49541490773022034,2.3840765940825652,3,3,0,0,1,0,1,0,0,1,1,1,1,1,0,1
0,0,-0.1825689055087738,0,1,0,1,-0.9682941439237093,-0.587070430101919,0,2,-1.0124375767956402,0.7657951779949664,-0.587070430101919,2,1,2,0,0,0,0,0,1,0,0,0,1,1,0,0
1,1,0.30589991255435406,1,2,1,1,0.667653943018573,0.463499075181995,0,2,0.6270858237411667,0.23115177208972573,0.463499075181995,2,2,1,0,0,0,0,1,0,0,0,0,1,0,1,0
0,0,-1.2816237461508113,1,0,0,0,-1.4743429943470319,-0.9999265844390328,0,0,-1.4703791280252954,-0.039107531994243945,-0.9999265844390328,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0
0,0,-1.1188008067964355,1,2,0,1,0.5000771105833088,-0.8279214696551572,0,1,0.5810931390439686,-0.6325029605264366,-0.8279214696551572,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,1
0,0,-1.2816237461508113,1,2,0,1,0.14169497389007057,-0.978557581658485,0,0,0.1410192494952395,-0.039107531994243945,-0.978557581658485,0,2,2,1,0,1,0,1,0,0,0,0,0,0,0,0
0,1,-0.8338606629262776,1,2,0,1,1.3396204493183947,-0.4491811257120391,0,4,1.3685937834995894,-0.22319720289201922,-0.4491811257120391,0,3,2,1,0,0,0,1,0,1,0,1,1,0,1,1
0,0,-1.1188008067964355,1,2,0,1,1.034331962505636,-0.809975017627962,0,3,0.8517551252476234,1.1320161190362898,-0.809975017627962,0,3,2,1,0,0,0,1,0,0,0,0,0,1,1,1
1,0,1.5677776925507676,1,1,2,1,0.7024966507526377,1.64394999367006,0,6,0.6687770343299938,0.18023335247970385,1.64394999367006,3,2,0,0,1,0,0,0,0,0,1,1,1,1,1,1
0,0,-1.2002122764736234,1,2,0,1,0.39886734049864436,-0.9087024432054416,0,0,0.3703209077337876,0.17239974946277373,-0.9087024432054416,0,2,2,1,0,1,0,1,0,1,0,0,0,0,0,0
1,0,-0.10115743583158582,1,0,0,0,-1.5025489958460367,-0.7211422740361364,0,0,-1.42537909119926,-2.019050694522451,-0.7211422740361364,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,-0.30468611002455576,1,0,1,1,-1.4842980536996218,-0.7860610412103057,0,0,-1.4763350152522707,-0.15465317649391216,-0.7860610412103057,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,0.7943687306174818,1,0,2,0,-1.3399496930870676,-0.42487223959207304,0,0,-1.3016289899276623,-0.842051841229225,-0.42487223959207304,3,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
0,0,0.5501343215859179,1,2,1,1,1.495583045842304,1.1300847132532315,1,5,1.3576746569168012,0.7050847546137873,1.1300847132532315,2,3,1,0,0,0,0,1,0,1,1,1,1,0,1,1
0,0,-0.9559778674420595,1,2,0,1,0.18483356441796028,-0.7465700709793139,0,0,0.04936476272456445,1.1613921303497614,-0.7465700709793139,0,2,2,1,0,1,0,1,0,0,0,0,0,0,0,0
1,0,-0.5489205190561197,1,2,0,1,0.7273842991341125,-0.32248092955427354,0,1,0.5757990170644351,1.0340960813247047,-0.32248092955427354,1,2,2,0,0,0,0,1,0,1,0,0,0,0,1,0
0,0,-0.8338606629262776,1,1,0,1,-0.5153389433808665,-0.7405367283051346,0,1,-0.46217977354786843,-0.642294964297596,-0.7405367283051346,0,1,2,1,0,0,0,1,0,0,0,1,0,0,0,0
1,0,0.5094285867473239,1,2,1,1,1.1206091435614158,0.9769475064686075,1,4,1.1789980401075426,-0.4033700722813316,0.9769475064686075,2,3,1,0,0,0,0,0,0,1,0,1,1,1,1,0
1,1,0.14307697319997809,1,2,0,1,1.313073624378155,0.6079921473716129,0,4,1.2382260297535748,0.3701982256401713,0.6079921473716129,2,3,2,0,0,0,1,0,0,1,1,0,1,0,1,1
0,0,0.22448844287716607,1,2,0,1,1.0011484313303363,0.6107345758598762,0,3,1.0655053001712917,-0.45037169038289276,0.6107345758598762,2,3,2,0,0,0,1,0,0,1,0,1,1,0,0,1
1,1,-1.2816237461508113,1,0,0,0,-1.5174815848749215,-1.0004970095645918,0,0,-1.5133938691090056,-0.039107531994243945,-1.0004970095645918,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0
