Partner,Dependents,tenure,PhoneService,InternetService,Contract,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,SeniorCitizenLabel,ServiceCount,AvgMonthlySpend,ChargeToTenureRatio,CLV,TenureGroup_num,ChargesBand_num,ContractRisk,IsNewCustomer,IsLongTermCustomer,HasNoAddOns,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,MultipleLines_Yes,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_Yes
1,0,1,0,1,0,1,29.85,29.85,0,0,1,29.85,1.0,29.85,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0
0,0,34,1,1,1,0,56.95,1889.5,0,0,2,55.57,1.0248,1889.5,2,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0
0,0,2,1,1,0,1,53.85,108.15,1,0,2,54.08,0.9957,108.15,0,1,2,1,0,0,0,0,1,0,1,1,0,0,0,0
0,0,45,0,1,1,0,42.3,1840.75,0,0,3,40.91,1.034,1840.75,2,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0
0,0,2,1,2,0,1,70.7,151.65,1,0,0,75.82,0.9325,151.65,0,2,2,1,0,1,0,1,0,0,0,0,0,0,0,0
0,0,8,1,2,0,1,99.65,820.5,1,0,3,102.56,0.9716,820.5,0,3,2,1,0,0,0,1,0,1,0,0,1,0,1,1
0,1,22,1,2,0,1,89.1,1949.4,0,0,2,88.61,1.0055,1949.4,1,2,2,0,0,0,1,0,0,1,0,1,0,0,1,0
0,0,10,0,1,0,0,29.75,301.9,0,0,1,30.19,0.9854,301.9,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0
1,0,28,1,2,0,1,104.8,3046.05,1,0,4,108.79,0.9633,3046.05,2,3,2,0,0,0,0,1,0,1,0,0,1,1,1,1
0,1,62,1,1,1,0,56.15,3487.95,0,0,2,56.26,0.998,3487.95,3,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0
1,1,13,1,1,0,1,49.95,587.45,0,0,1,45.19,1.1053,587.45,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0
0,0,16,1,0,2,0,18.95,326.8,0,0,0,20.42,0.928,326.8,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1,0,58,1,2,1,0,100.35,5681.1,0,0,3,97.95,1.0245,5681.1,3,3,1,0,1,0,1,0,0,1,0,0,1,0,1,1
0,0,49,1,2,0,1,103.7,5036.3,1,0,4,102.78,1.009,5036.3,3,3,2,0,1,0,0,0,0,1,0,1,1,0,1,1
0,0,25,1,2,0,1,105.5,2686.05,0,0,5,107.44,0.9819,2686.05,2,3,2,0,0,0,0,1,0,0,1,0,1,1,1,1
1,1,69,1,2,2,0,113.25,7895.15,0,0,6,114.42,0.9898,7895.15,3,3,0,0,1,0,1,0,0,1,1,1,1,1,1,1
0,0,52,1,0,1,0,20.65,1022.95,0,0,0,19.67,1.0498,1022.95,3,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
0,1,71,1,2,2,0,106.7,7382.25,0,0,4,103.98,1.0262,7382.25,3,3,0,0,1,0,0,0,0,1,1,0,1,0,1,1
1,1,10,1,1,0,0,55.2,528.35,1,0,2,52.84,1.0447,528.35,0,1,2,1,0,0,1,0,0,0,0,0,1,1,0,0
0,0,21,1,2,0,1,90.05,1862.9,0,0,3,88.71,1.0151,1862.9,1,2,2,0,0,0,0,1,0,0,0,1,1,0,0,1
0,0,1,0,1,0,1,39.65,39.65,1,1,2,39.65,1.0,39.65,0,1,2,1,0,0,0,1,0,0,0,0,1,0,0,1
1,0,12,1,0,1,0,19.8,202.25,0,0,0,16.85,1.1751,202.25,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,20.15,20.15,1,0,0,20.15,1.0,20.15,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0
1,0,58,1,1,2,1,59.9,3505.1,0,0,2,60.43,0.9912,3505.1,3,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0
1,1,49,1,1,0,0,59.6,2970.3,0,0,3,60.62,0.9832,2970.3,3,1,2,0,1,0,1,0,0,0,1,1,0,1,0,0
0,0,30,1,1,0,1,55.3,1530.6,0,0,2,51.02,1.0839,1530.6,2,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0
1,1,47,1,2,0,1,99.35,4749.15,1,0,3,101.05,0.9832,4749.15,2,3,2,0,0,0,0,1,0,1,0,1,0,0,1,1
1,1,1,0,1,0,0,30.2,30.2,1,0,1,30.2,1.0,30.2,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0
1,0,72,1,1,2,1,90.25,6369.45,0,0,6,88.46,1.0202,6369.45,3,2,0,0,1,0,1,0,0,1,1,1,1,1,1,1
0,1,17,1,1,0,1,64.7,1093.1,1,0,2,64.3,1.0062,1093.1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,1,1
1,0,71,1,2,2,1,96.35,6766.95,0,1,4,95.31,1.0109,6766.95,3,3,0,0,1,0,1,0,0,1,1,1,1,1,0,0
1,0,2,1,2,0,1,95.5,181.65,0,1,3,90.82,1.0515,181.65,0,3,2,1,0,0,1,0,0,0,0,0,1,0,1,1
1,1,27,1,1,1,0,66.15,1874.45,0,0,4,69.42,0.9529,1874.45,2,2,1,0,0,0,0,0,1,0,1,1,1,1,0,0
0,0,1,1,0,0,0,20.2,20.2,0,0,0,20.2,1.0,20.2,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,45.25,45.25,0,1,0,45.25,1.0,45.25,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0
1,1,72,1,2,2,0,99.9,7251.7,0,0,4,100.72,0.9919,7251.7,3,3,0,0,1,0,0,0,0,1,1,1,0,1,1,0
0,0,5,1,2,0,1,69.7,316.9,1,0,0,63.38,1.0997,316.9,0,2,2,1,0,1,0,1,0,0,0,0,0,0,0,0
0,0,46,1,2,0,1,74.8,3548.3,0,0,1,77.14,0.9697,3548.3,2,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0
0,0,34,1,2,0,1,106.35,3549.25,1,0,4,104.39,1.0188,3549.25,2,3,2,0,0,0,0,1,0,1,0,1,1,0,1,1
0,0,11,1,2,0,1,97.85,1105.4,1,0,3,100.49,0.9737,1105.4,0,3,2,1,0,0,0,0,0,1,0,0,1,0,1,1
1,1,10,1,1,1,0,49.55,475.7,0,0,1,47.57,1.0416,475.7,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0
1,1,70,1,1,2,1,69.2,4872.35,0,0,3,69.6,0.9943,4872.35,3,2,0,0,1,0,1,0,0,1,1,1,0,0,1,0
1,1,17,1,0,1,0,20.75,418.25,0,0,0,24.6,0.8435,418.25,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
0,0,63,1,1,2,1,79.85,4861.45,0,0,5,77.17,1.0347,4861.45,3,2,0,0,1,0,1,0,0,1,1,1,1,1,1,0
1,0,13,1,1,0,1,76.2,981.45,0,0,4,75.5,1.0093,981.45,1,2,2,0,0,0,0,1,0,1,1,1,0,1,1,0
0,0,49,1,2,0,1,84.5,3906.7,0,0,1,79.73,1.0598,3906.7,3,2,2,0,1,0,0,1,0,1,0,0,0,0,0,1
